"stance_label","stance_confidence","comment_id","error"
"Neutral/Unclear",0.95,"climate_comment_273756",NA
"Neutral/Unclear",0.85,"climate_comment_213609",NA
"Neutral/Unclear",0.85,"climate_comment_190124",NA
"Neutral/Unclear",0.85,"climate_comment_186365",NA
"Climate Believer",0.85,"climate_comment_206115",NA
"Neutral/Unclear",0.85,"climate_comment_270243",NA
"Neutral/Unclear",0.85,"climate_comment_271908",NA
"Neutral/Unclear",0.9,"climate_comment_231960",NA
"Neutral/Unclear",0.85,"climate_comment_182843",NA
"Climate Skeptic",0.95,"climate_comment_223350",NA
"Neutral/Unclear",0.85,"climate_comment_256884",NA
"Neutral/Unclear",0.75,"climate_comment_192397",NA
"Neutral/Unclear",0.85,"climate_comment_214831",NA
"Climate Skeptic",0.85,"climate_comment_223349",NA
"Neutral/Unclear",0.85,"climate_comment_216078",NA
"Neutral/Unclear",0.9,"climate_comment_275519",NA
"Neutral/Unclear",0.85,"climate_comment_221638",NA
"Neutral/Unclear",0.9,"climate_comment_175687",NA
"Neutral/Unclear",0.95,"climate_comment_175686",NA
"Climate Skeptic",0.95,"climate_comment_277200",NA
"Neutral/Unclear",0.9,"climate_comment_208090",NA
"Neutral/Unclear",0.9,"climate_comment_208089",NA
"Neutral/Unclear",0.85,"climate_comment_208088",NA
"Climate Believer",0.85,"climate_comment_276294",NA
"Neutral/Unclear",0.85,"climate_comment_224110",NA
"Neutral/Unclear",0.95,"climate_comment_185623",NA
"Neutral/Unclear",0.85,"climate_comment_221082",NA
"Climate Skeptic",0.85,"climate_comment_224112",NA
"Neutral/Unclear",0.85,"climate_comment_266782",NA
"Climate Skeptic",0.85,"climate_comment_220987",NA
"Neutral/Unclear",0.95,"climate_comment_269961",NA
"Climate Skeptic",0.85,"climate_comment_260281",NA
"Neutral/Unclear",0.85,"climate_comment_175667",NA
"Climate Believer",0.85,"climate_comment_279593",NA
"Neutral/Unclear",0.85,"climate_comment_232839",NA
"Climate Skeptic",0.95,"climate_comment_260655",NA
"Neutral/Unclear",0.9,"climate_comment_193643",NA
"Neutral/Unclear",0.85,"climate_comment_207001",NA
"Neutral/Unclear",0.9,"climate_comment_189501",NA
"Neutral/Unclear",0.9,"climate_comment_236915",NA
"Neutral/Unclear",0.85,"climate_comment_207002",NA
"Climate Believer",0.9,"climate_comment_170563",NA
"Climate Believer",0.85,"climate_comment_278990",NA
"Neutral/Unclear",0.95,"climate_comment_269015",NA
"Climate Believer",0.85,"climate_comment_187895",NA
"Climate Believer",0.85,"climate_comment_212295",NA
"Neutral/Unclear",0.9,"climate_comment_219125",NA
