"agreement_label","agreement_confidence","comment_id","topic","error"
"Disagree",0.85,"racial_comment_134434","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_134435","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_134195","Diversity and Immigration in North America",NA
"Agree",0.85,"racial_comment_134497","Population Growth and Economic Implications",NA
"Agree",0.85,"racial_comment_134405","Affordable Housing and Demographic Shifts",NA
"Disagree",0.92,"racial_comment_134366","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_134192","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_134422","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_134368","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_134534","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_134283","Diversity and Immigration in North America",NA
"Disagree",0.88,"racial_comment_134535","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.78,"racial_comment_134198","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.78,"racial_comment_134546","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_134618","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_134616","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_134656","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.78,"racial_comment_134547","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_134723","Diversity and Immigration in North America",NA
"Agree",0.88,"racial_comment_134765","Diversity and Immigration in North America",NA
"Agree",0.88,"racial_comment_134722","Diversity and Immigration in North America",NA
"Neither/Unclear",0.6,"racial_comment_134726","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_134756","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_134681","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_134704","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_134766","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_134758","Diversity and Immigration in North America",NA
"Neither/Unclear",0.6,"racial_comment_134776","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_134757","Diversity and Immigration in North America",NA
"Agree",0.9,"racial_comment_134769","Diversity and Immigration in North America",NA
"Neither/Unclear",0.6,"racial_comment_134768","Diversity and Immigration in North America",NA
"Disagree",0.95,"racial_comment_134825","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_134873","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_134900","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_134932","Population Growth and Economic Implications",NA
"Disagree",0.92,"racial_comment_134423","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_134977","Political Polarization in Immigration Policies",NA
"Disagree",0.85,"racial_comment_135007","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_134921","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_135043","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_135040","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_135025","Diversity and Immigration in North America",NA
"Disagree",0.95,"racial_comment_135053","Diversity and Immigration in North America",NA
"Disagree",0.95,"racial_comment_134992","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_135172","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_135073","Population Growth and Economic Implications",NA
"Mixed/Ambiguous",0.7,"racial_comment_134775","Diversity and Immigration in North America",NA
"Disagree",0.95,"racial_comment_135201","Political Polarization in Immigration Policies",NA
"Mixed/Ambiguous",0.65,"racial_comment_135233","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_135234","Diversity and Immigration in North America",NA
"Disagree",0.95,"racial_comment_135270","Diversity and Immigration in North America",NA
"Neither/Unclear",0.4,"racial_comment_135268","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_135277","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.78,"racial_comment_135293","Diversity and Immigration in North America",NA
"Agree",0.92,"racial_comment_135336","Population Growth and Economic Implications",NA
"Neither/Unclear",0.6,"racial_comment_135212","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_135295","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_135376","Population Growth and Economic Implications",NA
"Disagree",0.92,"racial_comment_135326","Diversity and Immigration in North America",NA
"Agree",0.85,"racial_comment_135377","Population Growth and Economic Implications",NA
"Disagree",0.85,"racial_comment_135374","Population Growth and Economic Implications",NA
"Neither/Unclear",0.55,"racial_comment_135378","Population Growth and Economic Implications",NA
"Agree",0.85,"racial_comment_135386","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_135375","Population Growth and Economic Implications",NA
"Disagree",0.85,"racial_comment_135497","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_135452","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_135499","Diversity and Immigration in North America",NA
"Neither/Unclear",0.55,"racial_comment_135237","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_135500","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.65,"racial_comment_135498","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_135269","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_135509","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_135501","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_135560","Population Growth and Economic Implications",NA
"Disagree",0.92,"racial_comment_135563","Population Growth and Economic Implications",NA
"Disagree",0.9,"racial_comment_135562","Population Growth and Economic Implications",NA
"Disagree",0.85,"racial_comment_135752","Population Growth and Economic Implications",NA
"Disagree",0.92,"racial_comment_135619","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.65,"racial_comment_135617","Diversity and Immigration in North America",NA
"Neither/Unclear",0.5,"racial_comment_135768","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.78,"racial_comment_135767","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_135618","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_135826","Population Growth and Economic Implications",NA
"Disagree",0.92,"racial_comment_135841","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_135825","Population Growth and Economic Implications",NA
"Agree",0.88,"racial_comment_135843","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_135842","Diversity and Immigration in North America",NA
"Disagree",0.95,"racial_comment_135883","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_135908","Diversity and Immigration in North America",NA
"Agree",0.92,"racial_comment_135905","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_136008","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_135882","Diversity and Immigration in North America",NA
"Agree",0.85,"racial_comment_135906","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_136078","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_135804","Diversity and Immigration in North America",NA
"Agree",0.88,"racial_comment_135907","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_136042","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_136086","Diversity and Immigration in North America",NA
"Agree",0.88,"racial_comment_135616","Diversity and Immigration in North America",NA
"Agree",0.85,"racial_comment_136112","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_136019","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_136088","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_136103","Diversity and Immigration in North America",NA
"Agree",0.92,"racial_comment_136111","Diversity and Immigration in North America",NA
"Agree",0.95,"racial_comment_136113","Diversity and Immigration in North America",NA
"Agree",0.85,"racial_comment_136132","Diversity and Immigration in North America",NA
"Disagree",0.95,"racial_comment_136131","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_136133","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_136217","Population Growth and Economic Implications",NA
"Agree",0.92,"racial_comment_136219","Population Growth and Economic Implications",NA
"Disagree",0.85,"racial_comment_136193","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_136192","Diversity and Immigration in North America",NA
"Agree",0.85,"racial_comment_136226","Population Growth and Economic Implications",NA
"Mixed/Ambiguous",0.7,"racial_comment_136114","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_136305","Population Growth and Economic Implications",NA
"Agree",0.85,"racial_comment_136287","Asian Population Dynamics and Implications",NA
